"PORTAL";"URL_ANUNCIO";"COD_POSTAL";"MUNICIPIO";"DISTRITO";"BARRIO";"PRECIO";"M2";"FECHA_PROCESADO"
fotocasa;http://www.fotocasa.es/es/san-lorenzo-de-el-escorial/abantos---carmelitas/38828941;"28200";San Lorenzo de el Escorial;Abantos - Carmelitas;;"1000";"300";"2017-11-01"
fotocasa;http://www.fotocasa.es/es/san-lorenzo-de-el-escorial/abantos---carmelitas/38166653;"28200";San Lorenzo de el Escorial;Abantos - Carmelitas;;"1200";"120";"2017-11-01"
fotocasa;http://www.fotocasa.es/es/san-lorenzo-de-el-escorial/abantos---carmelitas/38852058;"28200";San Lorenzo de el Escorial;Abantos - Carmelitas;;"1200";"130";"2017-11-01"
fotocasa;http://www.fotocasa.es/es/alcobendas/alcobendas-centro/38545633;"28100";Alcobendas;Alcobendas Centro;;"700";"90";"2017-11-01"
fotocasa;http://www.fotocasa.es/es/alcobendas/alcobendas-centro/38549433;"28100";Alcobendas;Alcobendas Centro;;"1700";"140";"2017-11-01"
fotocasa;http://www.fotocasa.es/es/alcobendas/alcobendas-centro/38648215;"28100";Alcobendas;Alcobendas Centro;;"600";"120";"2017-11-01"
fotocasa;http://www.fotocasa.es/es/alcobendas/alcobendas-centro/38656876;"28100";Alcobendas;Alcobendas Centro;;"1100";"50";"2017-11-01"
fotocasa;http://www.fotocasa.es/es/alcobendas/alcobendas-centro/38690876;"28100";Alcobendas;Alcobendas Centro;;"1500";"145";"2017-11-01"
fotocasa;http://www.fotocasa.es/es/alcobendas/alcobendas-centro/38756970;"28100";Alcobendas;Alcobendas Centro;;"500";"53";"2017-11-01"
fotocasa;http://www.fotocasa.es/es/alcobendas/alcobendas-centro/38777479;"28100";Alcobendas;Alcobendas Centro;;"1400";"120";"2017-11-01"
fotocasa;http://www.fotocasa.es/es/alcobendas/alcobendas-centro/37210807;"28100";Alcobendas;Alcobendas Centro;;"750";"135";"2017-11-01"
fotocasa;http://www.fotocasa.es/es/alcobendas/alcobendas-centro/37233454;"28100";Alcobendas;Alcobendas Centro;;"700";"50";"2017-11-01"
fotocasa;http://www.fotocasa.es/es/alcobendas/alcobendas-centro/37340655;"28100";Alcobendas;Alcobendas Centro;;"1150";"53";"2017-11-01"
