"PORTAL";"URL_ANUNCIO";"COD_POSTAL";"MUNICIPIO";"DISTRITO";"BARRIO";"PRECIO";"M2";"FECHA_PROCESADO"
idealista;http://www.idealista.com/2219178;"28701";San Sebastián de los Reyes;Centro Urbano;;"500";"48";"2017-11-01"
idealista;http://www.idealista.com/2219481;"28011";Madrid;Latina;Puerta del Ángel;"1200";"280";"2017-11-01"
idealista;http://www.idealista.com/2219637;"28038";Madrid;Puente de Vallecas;Numancia;"2000";"365";"2017-11-01"
idealista;http://www.idealista.com/2219798;"28400";Collado Villalba;Villalba Estación;;"700";"110";"2017-11-01"
idealista;http://www.idealista.com/2220125;"28055";Madrid;Hortaleza;Valdebebas - Valdefuentes;"3468";"204";"2017-11-01"
idealista;http://www.idealista.com/2220338;"28343";Valdemoro;Altos del Olivar - El Caracol;;"450";"110";"2017-11-01"
idealista;http://www.idealista.com/2220481;"28821";Coslada;Coslada Pueblo;;"550";"55";"2017-11-01"
idealista;http://www.idealista.com/2220710;"28100";Alcobendas;Alcobendas Centro;;"300";"50";"2017-11-01"
idealista;http://www.idealista.com/2220949;"28343";Valdemoro;Zona Estación;;"995";"463";"2017-11-01"
idealista;http://www.idealista.com/2221138;"28915";Leganés;Zarzaquemada;Zarzaquemada;"350";"20";"2017-11-01"
idealista;http://www.idealista.com/2221188;"28220";Majadahonda;Casco Antiguo;;"950";"200";"2017-11-01"
idealista;http://www.idealista.com/2222168;"28924";Alcorcón;Parque Lisboa - La Paz;Parque Lisboa - La Paz;"850";"150";"2017-11-01"
idealista;http://www.idealista.com/2222292;"28038";Madrid;Puente de Vallecas;Numancia;"800";"122";"2017-11-01"
idealista;http://www.idealista.com/2222540;"28840";Mejorada del Campo;;;"600";"170";"2017-11-01"
idealista;http://www.idealista.com/2222584;"28037";Madrid;San Blas;Amposta;"450";"74";"2017-11-01"
idealista;http://www.idealista.com/2222732;"28737";Piñuécar;;;"150";"75";"2017-11-01"
idealista;http://www.idealista.com/2222835;"28045";Madrid;Arganzuela;Chopera;"3500";"1100";"2017-11-01"
idealista;http://www.idealista.com/2223219;"28902";Getafe;Getafe Centro;;"550";"55";"2017-11-01"
idealista;http://www.idealista.com/2223282;"28053";Madrid;Puente de Vallecas;San Diego;"1000";"212";"2017-11-01"
idealista;http://www.idealista.com/2223400;"28702";San Sebastián de los Reyes;Dehesa Vieja-Puente Cultural;;"1500";"250";"2017-11-01"
idealista;http://www.idealista.com/2223897;"28017";Madrid;Ciudad Lineal;Ventas;"1750";"65";"2017-11-01"
idealista;http://www.idealista.com/2224105;"28400";Collado Villalba;Villalba Estación;;"800";"120";"2017-11-01"
